label,nb_universites
ACHÈRES,15
CHÂTENAY-MALABRY,15
PARIS  6E  ARRONDISSEMENT,15
FLOIRAC,15
LE MOULE,15
HÉNIN-BEAUMONT,15
CHÂTILLON,15
MONS-EN-BAROEUL,15
MURET,15
SAINT-GRATIEN,15
VILLEPARISIS,15
BOURG-LÈS-VALENCE,15
DZAOUDZI,15
BEAUNE,15
SUCY-EN-BRIE,15
SAINT-DIZIER,15
DENAIN,15
PAPEETE,15
GIF-SUR-YVETTE,15
LES PENNES-MIRABEAU,15
ROCHEFORT,15
BANDRABOUA,15
THIAIS,15
SCHILTIGHEIM,15
VILLEMOMBLE,15
MONTREVAULT-SUR-EVRE,15
TERGNIER,14
L'HAŸ-LES-ROSES,14
CHARENTON-LE-PONT,14
MITRY-MORY,14
SAINT-CLAUDE,14
LIMAY,14
LIMEIL-BRÉVANNES,14
ORVAULT,14
LUNEL,14
ANNEMASSE,14
BOISSY-SAINT-LÉGER,14
SAINT-GILLES,14
TOUL,14
VOIRON,14
SORGUES,14
DÉCINES-CHARPIEU,14
HEM,14
FOUGÈRES,14
ERMONT,14
LE CANNET,14
GARDANNE,14
LE GRAND-QUEVILLY,14
BRISSAC LOIRE AUBANCE,14
LE ROBERT,14
CAHORS,14
CHAUMONT,14
SAINT-MICHEL-SUR-ORGE,14
BRUAY-LA-BUISSIÈRE,14
OMBRÉE D'ANJOU,14
CHATOU,14
RODEZ,14
VÉLIZY-VILLACOUBLAY,14
LIBOURNE,14
COMBS-LA-VILLE,14
DRAVEIL,14
DEMBENI,14
ANNONAY,13
NOGENT-SUR-OISE,13
DEUIL-LA-BARRE,13
SAINT-JEAN-DE-LA-RUELLE,13
SOTTEVILLE-LÈS-ROUEN,13
LE PETIT-QUEVILLY,13
PONTARLIER,13
PETIT-BOURG,13
MALAKOFF,13
LAGNY-SUR-MARNE,13
SAINT-OUEN-L'AUMÔNE,13
MAISONS-LAFFITTE,13
LA TRINITÉ,13
CORMEILLES-EN-PARISIS,13
VILLENEUVE-LA-GARENNE,13
LE VÉSINET,13
CARRIÈRES-SOUS-POISSY,13
LE FRANÇOIS,13
LE PLESSIS-ROBINSON,13
CHÂTEAU-THIERRY,13
LYON 2E  ARRONDISSEMENT,13
COUËRON,13
SOISSONS,13
VILLIERS-SUR-MARNE,13
ROISSY-EN-BRIE,13
FRESNES,13
LE PERREUX-SUR-MARNE,13
AURILLAC,13
NOGENT-SUR-MARNE,13
CHENÔVE,13
REMIRE-MONTJOLY,13
LANESTER,13
MONTATAIRE,13
ARMENTIÈRES,13
SAINT-MÉDARD-EN-JALLES,13
RIS-ORANGIS,13
LAMBERSART,13
AVION,13
LONGJUMEAU,13
PAITA,13
PARIS  4E  ARRONDISSEMENT,13
CAVAILLON,13
LOOS,13
MANOSQUE,13
CHIRONGUI,13
ALLONNES,13
CONCARNEAU,12
MARSEILLE  1ER ARRONDISSEMENT,12
ECULLY,12
MAUGUIO,12
BOUGUENAIS,12
GRADIGNAN,12
AMBARÈS-ET-LAGRAVE,12
MAUREPAS,12
PORT-DE-BOUC,12
LONS-LE-SAUNIER,12
SIX-FOURS-LES-PLAGES,12
EYSINES,12
LA HAGUE,12
LA GARDE,12
MILLAU,12
FAMECK,12
NEUILLY-PLAISANCE,12
LA CELLE-SAINT-CLOUD,12
CASTELSARRASIN,12
NOYON,12
ILLZACH,12
SADA,12
LOIRE-AUTHION,12
TARNOS,12
SALLES,12
LES CLAYES-SOUS-BOIS,12
MOULINS,12
SAINT-SÉBASTIEN-SUR-LOIRE,12
CACHAN,12
SAINT-JEAN-DE-BRAYE,12
SEDAN,12
SAINT-PIERRE-DES-CORPS,12
FLEURY-LES-AUBRAIS,12
ERAGNY,12
SAINT-OMER,12
SAINT-EGRÈVE,12
ELBEUF,12
MEYLAN,12
AUDINCOURT,12
MARMANDE,12
OLIVET,12
LAMENTIN,12
MONTAIGU-VENDÉE,12
MORNE-À-L'EAU,12
MARLY,12
KONE,12
MEYZIEU,12
ISSOIRE,12
SAINT-DIÉ-DES-VOSGES,12
L'ISLE-D'ABEAU,12
FAAA,12
HENDAYE,12
CROIX,12
MOUGINS,12
SAINT-AMAND-LES-EAUX,12
CHÂTEAUDUN,12
L'ISLE-SUR-LA-SORGUE,12
OZOIR-LA-FERRIÈRE,12
DIGNE-LES-BAINS,12
BOIS-COLOMBES,12
VILLEFONTAINE,12
ROMORANTIN-LANTHENAY,12
LES HAUTS-D'ANJOU,12
TOURNEFEUILLE,12
FONTENAY-AUX-ROSES,12
PARIS  3E  ARRONDISSEMENT,12
LA GARENNE-COLOMBES,12
VENDÔME,12
PROVINS,12
